Germany;Partner;year;cborder;Number
France;Malta;2013;0;48
France;Netherlands;2013;0;49
France;Poland;2013;0;50
France;Portugal;2013;0;51
France;Slovak Republic;2013;0;52
France;Slovenia;2013;0;53
France;Sweden;2013;0;54
Germany;Austria;2014;1;1
Germany;Belgium;2014;1;2
Germany;Bulgaria;2014;0;3
Germany;Cyprus;2014;0;4
Germany;Czech Republic;2014;1;5
Germany;Denmark;2014;1;6
Germany;Spain;2014;0;7
Germany;Estonia;2014;0;8
Germany;Finland;2014;0;9
Germany;France;2014;0;10
Germany;United Kingdom;2014;0;11
Germany;Greece;2014;0;12
Germany;Croatia;2014;0;13
Germany;Hungary;2014;0;14
Germany;Ireland;2014;0;15
Germany;Italy;2014;0;16
Germany;Lithuania;2014;0;17
Germany;Luxembourg;2014;0;18
Germany;Latvia;2014;0;19
Germany;Malta;2014;0;20
Germany;Netherlands;2014;1;21
Germany;Poland;2014;1;22
Germany;Portugal;2014;0;23
Germany;Romania;2014;0;24
Germany;Slovak Republic;2014;0;25
Germany;Slovenia;2014;0;26
Germany;Sweden;2014;0;27
France;Austria;2014;0;28
France;Belgium;2014;1;29
France;Bulgaria;2014;0;30
France;Cyprus;2014;0;31
France;Czech Republic;2014;0;32
France;Germany;2014;1;33
France;Denmark;2014;0;34
France;Spain;2014;1;35
France;Estonia;2014;0;36
France;Finland;2014;0;37
France;United Kingdom;2014;0;38
France;Greece;2014;0;39
France;Croatia;2014;0;40
France;Hungary;2014;0;41
France;Ireland;2014;0;42
France;Italy;2014;1;43
France;Lithuania;2014;0;44
France;Luxembourg;2014;1;45
France;Latvia;2014;0;46
France;Malta;2014;0;47
France;Netherlands;2014;0;48
France;Poland;2014;0;49
France;Portugal;2014;0;50
France;Romania;2014;0;51
France;Slovak Republic;2014;0;52
France;Slovenia;2014;0;53
France;Sweden;2014;0;54
Germany;Austria;2015;1;1
Germany;Belgium;2015;1;2
Germany;Bulgaria;2015;0;3
Germany;Cyprus;2015;0;4
Germany;Czech Republic;2015;1;5
Germany;Denmark;2015;1;6
Germany;Spain;2015;0;7
Germany;Estonia;2015;0;8
Germany;Finland;2015;0;9
Germany;France;2015;0;10
Germany;United Kingdom;2015;0;11
Germany;Greece;2015;0;12
Germany;Croatia;2015;0;13
Germany;Hungary;2015;0;14
Germany;Ireland;2015;0;15
Germany;Italy;2015;0;16
Germany;Lithuania;2015;0;17
Germany;Luxembourg;2015;0;18
Germany;Latvia;2015;0;19
Germany;Malta;2015;0;20
Germany;Netherlands;2015;1;21
Germany;Poland;2015;1;22
Germany;Portugal;2015;0;23
Germany;Romania;2015;0;24
Germany;Slovak Republic;2015;0;25
Germany;Slovenia;2015;0;26
Germany;Sweden;2015;0;27
France;Austria;2015;0;28
France;Belgium;2015;1;29
France;Bulgaria;2015;0;30
France;Cyprus;2015;0;31
France;Czech Republic;2015;0;32
France;Germany;2015;1;33
France;Denmark;2015;0;34
France;Spain;2015;1;35
France;Estonia;2015;0;36
France;Finland;2015;0;37
France;United Kingdom;2015;0;38
France;Greece;2015;0;39
France;Croatia;2015;0;40
France;Hungary;2015;0;41
France;Ireland;2015;0;42
France;Italy;2015;1;43
France;Lithuania;2015;0;44
France;Luxembourg;2015;1;45
France;Latvia;2015;0;46
France;Malta;2015;0;47
France;Netherlands;2015;0;48
France;Poland;2015;0;49
France;Portugal;2015;0;50
France;Romania;2015;0;51
France;Slovak Republic;2015;0;52
